"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 25 08:38:45 UTC 2023","Wed Oct 25 08:38:55 UTC 2023","9790","Chrome Stable","tests/first.spec.ts","two tests one","","","1 > 1 @smoke",""
"passed","Wed Oct 25 08:39:07 UTC 2023","Wed Oct 25 08:39:08 UTC 2023","619","Chrome Stable","tests/second.spec.ts","two tests second","","","2 > 2 @smoke",""
"failed","Wed Oct 25 08:39:00 UTC 2023","Wed Oct 25 08:39:07 UTC 2023","6754","Chrome Stable","tests/second.spec.ts","two tests second","","","2 > 1",""
"passed","Wed Oct 25 08:38:55 UTC 2023","Wed Oct 25 08:38:55 UTC 2023","495","Chrome Stable","tests/first.spec.ts","two tests one","","","1 > 2",""
