"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Sep 03 12:18:47 GMT 2021","Fri Sep 03 12:18:54 GMT 2021","6861","Chrome Stable","tests/second.spec.ts","two tests second","","","2 > 1",""
"passed","Fri Sep 03 12:18:55 GMT 2021","Fri Sep 03 12:18:56 GMT 2021","690","Chrome Stable","tests/second.spec.ts","two tests second","","","2 > 2 @smoke",""
"passed","Fri Sep 03 12:18:54 GMT 2021","Fri Sep 03 12:18:55 GMT 2021","808","Chrome Stable","tests/first.spec.ts","two tests one","","","1 > 2",""
"broken","Fri Sep 03 12:18:47 GMT 2021","Fri Sep 03 12:18:54 GMT 2021","6633","Chrome Stable","tests/first.spec.ts","two tests one","","","1 > 1 @smoke",""
