"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Sep 03 12:25:27 GMT 2021","Fri Sep 03 12:25:33 GMT 2021","5746","Chrome Stable","tests/second.spec.ts","two tests second","","","2 > 1",""
"passed","Fri Sep 03 12:25:30 GMT 2021","Fri Sep 03 12:25:30 GMT 2021","457","Chrome Stable","tests/first.spec.ts","two tests one","","","1 > 2",""
"passed","Fri Sep 03 12:25:28 GMT 2021","Fri Sep 03 12:25:30 GMT 2021","2361","Chrome Stable","tests/first.spec.ts","two tests one","","","1 > 1 @smoke",""
"passed","Fri Sep 03 12:25:33 GMT 2021","Fri Sep 03 12:25:34 GMT 2021","473","Chrome Stable","tests/second.spec.ts","two tests second","","","2 > 2 @smoke",""
