"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Sep 03 10:36:34 GMT 2021","Fri Sep 03 10:36:41 GMT 2021","7429","Chrome Stable","tests/second.spec.ts","two tests second","","","2 > 1",""
"broken","Fri Sep 03 10:36:34 GMT 2021","Fri Sep 03 10:36:41 GMT 2021","7145","Chrome Stable","tests/first.spec.ts","two tests one","","","1 > 1 @smoke",""
"passed","Fri Sep 03 10:36:42 GMT 2021","Fri Sep 03 10:36:43 GMT 2021","714","Chrome Stable","tests/second.spec.ts","two tests second","","","2 > 2 @smoke",""
"passed","Fri Sep 03 10:36:42 GMT 2021","Fri Sep 03 10:36:42 GMT 2021","855","Chrome Stable","tests/first.spec.ts","two tests one","","","1 > 2",""
