"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 03 12:21:42 GMT 2021","Fri Sep 03 12:21:43 GMT 2021","1201","Chrome Stable","tests/first.spec.ts","two tests one","","","1 > 2",""
"broken","Fri Sep 03 12:21:35 GMT 2021","Fri Sep 03 12:21:41 GMT 2021","5924","Chrome Stable","tests/first.spec.ts","two tests one","","","1 > 1 @smoke",""
"broken","Fri Sep 03 12:21:35 GMT 2021","Fri Sep 03 12:21:41 GMT 2021","6238","Chrome Stable","tests/second.spec.ts","two tests second","","","2 > 1",""
"passed","Fri Sep 03 12:21:42 GMT 2021","Fri Sep 03 12:21:43 GMT 2021","950","Chrome Stable","tests/second.spec.ts","two tests second","","","2 > 2 @smoke",""
