"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 03 13:16:54 UTC 2021","Fri Sep 03 13:16:55 UTC 2021","508","Chrome Stable","tests/second.spec.ts","two tests second","","","2 > 2 @smoke",""
"passed","Fri Sep 03 13:16:39 UTC 2021","Fri Sep 03 13:16:40 UTC 2021","1826","Chrome Stable","tests/first.spec.ts","two tests one","","","1 > 1 @smoke",""
"failed","Fri Sep 03 13:16:46 UTC 2021","Fri Sep 03 13:16:54 UTC 2021","7467","Chrome Stable","tests/second.spec.ts","two tests second","","","2 > 1",""
"passed","Fri Sep 03 13:16:40 UTC 2021","Fri Sep 03 13:16:41 UTC 2021","591","Chrome Stable","tests/first.spec.ts","two tests one","","","1 > 2",""
