"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 03 10:48:26 GMT 2021","Fri Sep 03 10:48:27 GMT 2021","698","Chrome Stable","tests/first.spec.ts","two tests one","","","1 > 2",""
"broken","Fri Sep 03 10:48:30 GMT 2021","Fri Sep 03 10:48:36 GMT 2021","6037","Chrome Stable","tests/second.spec.ts","two tests second","","","2 > 1",""
"passed","Fri Sep 03 10:48:37 GMT 2021","Fri Sep 03 10:48:37 GMT 2021","586","Chrome Stable","tests/second.spec.ts","two tests second","","","2 > 2 @smoke",""
"passed","Fri Sep 03 10:48:24 GMT 2021","Fri Sep 03 10:48:26 GMT 2021","2071","Chrome Stable","tests/first.spec.ts","two tests one","","","1 > 1 @smoke",""
