"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Sep 03 12:41:45 UTC 2021","Fri Sep 03 12:41:53 UTC 2021","8299","Chrome Stable","tests/second.spec.ts","two tests second","","","2 > 1",""
"passed","Fri Sep 03 12:41:42 UTC 2021","Fri Sep 03 12:41:42 UTC 2021","751","Chrome Stable","tests/first.spec.ts","two tests one","","","1 > 2",""
"passed","Fri Sep 03 12:41:54 UTC 2021","Fri Sep 03 12:41:55 UTC 2021","823","Chrome Stable","tests/second.spec.ts","two tests second","","","2 > 2 @smoke",""
"passed","Fri Sep 03 12:41:34 UTC 2021","Fri Sep 03 12:41:42 UTC 2021","7651","Chrome Stable","tests/first.spec.ts","two tests one","","","1 > 1 @smoke",""
