"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Sep 03 10:24:55 GMT 2021","Fri Sep 03 10:25:01 GMT 2021","6064","Chrome Stable","tests/second.spec.ts","two tests second","","","2 > 1",""
"passed","Fri Sep 03 10:24:56 GMT 2021","Fri Sep 03 10:24:57 GMT 2021","1150","Chrome Stable","tests/first.spec.ts","two tests one","","","1 > 2",""
"passed","Fri Sep 03 10:24:55 GMT 2021","Fri Sep 03 10:24:56 GMT 2021","1189","Chrome Stable","tests/first.spec.ts","two tests one","","","1 > 1 @smoke",""
"passed","Fri Sep 03 10:25:01 GMT 2021","Fri Sep 03 10:25:02 GMT 2021","534","Chrome Stable","tests/second.spec.ts","two tests second","","","2 > 2 @smoke",""
