"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 03 09:55:57 GMT 2021","Fri Sep 03 09:55:59 GMT 2021","2052","Chrome Stable","tests/first.spec.ts","two tests one","","","1 > 1 @smoke",""
"passed","Fri Sep 03 09:56:10 GMT 2021","Fri Sep 03 09:56:10 GMT 2021","578","Chrome Stable","tests/second.spec.ts","two tests second","","","2 > 2 @smoke",""
"broken","Fri Sep 03 09:56:03 GMT 2021","Fri Sep 03 09:56:09 GMT 2021","5987","Chrome Stable","tests/second.spec.ts","two tests second","","","2 > 1",""
"passed","Fri Sep 03 09:55:59 GMT 2021","Fri Sep 03 09:56:00 GMT 2021","610","Chrome Stable","tests/first.spec.ts","two tests one","","","1 > 2",""
