"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 03 10:45:55 GMT 2021","Fri Sep 03 10:45:56 GMT 2021","601","Chrome Stable","tests/second.spec.ts","two tests second","","","2 > 2 @smoke",""
"passed","Fri Sep 03 10:45:49 GMT 2021","Fri Sep 03 10:45:50 GMT 2021","1335","Chrome Stable","tests/first.spec.ts","two tests one","","","1 > 1 @smoke",""
"broken","Fri Sep 03 10:45:48 GMT 2021","Fri Sep 03 10:45:55 GMT 2021","6067","Chrome Stable","tests/second.spec.ts","two tests second","","","2 > 1",""
"passed","Fri Sep 03 10:45:50 GMT 2021","Fri Sep 03 10:45:51 GMT 2021","591","Chrome Stable","tests/first.spec.ts","two tests one","","","1 > 2",""
